id,Service_type,Customer,Monthly_fee,Advertisement_budget,Size,Promotion,Interest_rate,Period,Label
56,Loan,Doctor,16.8,3.25,Large,None,3,95,33.87
57,Loan,Business,15.44,6.6,Large,None,4,81,34.99
58,Loan,Professional,14.7,3.98,Medium,None,2,91,31.26
59,Loan,Professional,7.1,2.41,Large,Full,3,85,35.66
60,Loan,Business,15.08,6.22,Medium,Web,2,76,33.52
61,Mortgage,Business,9.06,7.16,Large,Web,3,86,35.55
62,Mortgage,Business,8.37,3.87,Medium,None,3,74,36.95
63,Mortgage,Professional,12.74,6.84,Medium,None,1,101,33.68
64,Mortgage,Business,9.48,6.73,Large,None,1,103,28.71
65,Mortgage,Business,8.99,4.09,Large,None,2,89,32.55
66,Mortgage,Professional,11.62,6.21,Medium,None,2,83,31.49
67,CD,Business,5.5,3.75,Large,Full,0,91,31.16
68,CD,Business,9.85,5.43,Medium,Full,0,72,35.16
69,CD,Business,11.66,2.27,Medium,Full,0,107,34.02
70,CD,Business,10.25,2.64,Large,Full,0,93,35.65
71,CD,Business,14.73,8.02,Medium,Web&Email,0,107,33.85
72,CD,Business,9.01,4.89,Large,Web&Email,0,116,32.56
73,CD,Business,12.39,8.94,Medium,Web&Email,1,79,32.73
74,CD,Business,7.65,4.64,Large,Web&Email,1,93,33.87
75,CD,Business,6.21,5.26,Medium,Web&Email,1,102,36.49
76,CD,Business,6.61,6.38,Large,Web&Email,1,105,35.42
77,CD,Business,7.15,4.73,Medium,Web&Email,1,94,28.93
78,CD,Business,5.95,4.22,Medium,Full,1,103,33.36
79,Fund,Business,2.64,0.52,Small,Web,0,62,14.57
80,Fund,Business,1.94,0.82,Small,Web,0,65,8
81,Fund,Business,2.31,1.07,Small,Web&Email,0,69,10.93
82,Fund,Student,2.98,0.97,Small,Web&Email,1,64,9.55
83,Fund,Student,3.13,0.6,Small,Web&Email,1,76,18.33
84,Fund,Student,1.81,0.26,Small,Web&Email,1,77,14.57
85,Fund,Student,3.12,0.75,Small,Full,1,71,18.34
86,Fund,Student,1.92,0.55,Small,Full,1,63,16.68
87,Fund,Student,1.65,0.34,Small,Full,0,73,16.44
88,Fund,Other,2.58,0.87,Small,None,2,86,11
89,Fund,Other,2.33,0.65,Small,None,0,72,12.83
90,Fund,Other,1.22,0.62,Small,None,0,64,13.01
91,Fund,Other,0.49,0.66,Small,None,0,74,15.6
92,Fund,Other,2.27,0.67,Small,None,0,69,9.62
93,Fund,Other,1.5,0.74,Small,Web,1,75,10.84
94,Fund,Other,2.45,1.04,Small,Web,1,68,15.59
95,CD,Business,2.79,0.72,Small,Web,1,77,19.41
96,CD,Business,1.51,0.83,Small,Web,1,75,16.1
97,CD,Business,2.5,1.12,Small,Web,1,71,13.67
98,CD,Business,2.08,0.63,Small,Full,0,69,14.85
99,CD,Business,1.74,0.53,Small,Full,0,70,14.78
100,CD,Business,2.61,0.19,Small,Full,0,73,17.82
101,CD,Business,2.79,0.22,Small,Web&Email,0,66,14.76
102,CD,Business,0.96,0.63,Small,Web&Email,1,66,12.6
103,CD,Business,3.47,0.58,Small,Web&Email,1,70,15.93
104,CD,Business,2.68,0.62,Small,Web&Email,1,66,18.16
105,CD,Business,2.53,0.42,Small,None,1,63,10.01
106,CD,Business,1.62,0.75,Small,None,0,74,11.73
107,Loan,Other,7.08,0.46,Large,Web&Email,1,86,17.12
108,Loan,Other,7.35,0.89,Large,Web&Email,1,104,15.74
109,Loan,Other,8.62,0.31,Large,Web&Email,1,94,16.15
110,Loan,Other,6.66,0.44,Large,Web&Email,1,90,16.96
111,Loan,Other,9.05,0.56,Large,Web&Email,1,107,15.13
112,Loan,Other,8.86,0.77,Large,Web&Email,1,105,18.1
113,Loan,Student,9.29,0.58,Medium,Full,0,91,19.39
114,Loan,Student,8.31,0.85,Medium,Full,0,82,15.83
115,Loan,Student,8.86,0.34,Medium,Full,0,84,19.33
116,Loan,Student,8.13,0.67,Medium,Full,0,88,18.58
117,Loan,Student,8.02,0.83,Medium,Full,0,96,16.75
118,Loan,Business,7.93,0.61,Medium,Full,2,102,17.47
119,Loan,Business,7.01,0.65,Medium,Full,2,102,19.13
120,Loan,Professional,7.25,0.75,Large,Full,2,88,17.49
121,Mortgage,Other,7.31,0.79,Medium,Web&Email,0,92,16.39
122,Mortgage,Other,6.98,0.45,Medium,Web&Email,0,65,18.27
123,Mortgage,Other,7.72,0.55,Medium,Web&Email,0,76,16.48
124,Mortgage,Other,5.59,0.96,Medium,Web&Email,0,83,17.21
125,Mortgage,Student,6.22,0.92,Medium,Web&Email,1,79,14.59
126,Mortgage,Student,7.31,0.16,Medium,Web&Email,1,81,14.62
127,Mortgage,Student,6.63,1.06,Medium,Full,1,81,16.56
128,Mortgage,Student,4.89,0.68,Medium,Full,1,84,17.36
129,Mortgage,Student,5.55,0.58,Medium,Full,1,79,16.23
130,Mortgage,Other,5.27,0.88,Medium,Full,2,73,15.7
131,Mortgage,Other,6.35,0.89,Large,Full,2,76,18.23
132,Mortgage,Business,5.34,1.07,Large,Full,0,84,18.89
133,Mortgage,Professional,7.45,0.63,Large,Full,0,81,16.59
134,Mortgage,Professional,5.67,0.49,Large,Full,0,83,14.71
135,Mortgage,Professional,8.7,0.52,Large,Web&Email,0,85,19.65
136,Loan,Other,2.12,4.62,Small,Full,3,44,41.99
137,Loan,Other,4.68,4.45,Small,Full,4,63,39.17
138,Loan,Professional,4.23,5.93,Small,Full,4,45,36.87
139,Loan,Professional,4.13,4.7,Small,Web&Email,4,52,35.79
140,Mortgage,Professional,4.18,2.4,Small,Web&Email,4,46,31.17
141,Mortgage,Doctor,3.39,5.78,Small,Web&Email,4,44,40.78
142,Mortgage,Doctor,2.96,5.6,Small,Web,3,43,42.82
143,Mortgage,Other,5.46,3.98,Small,Web,3,53,45.51
144,Fund,Other,5.8,4.93,Small,Web,3,10,34.53
145,Fund,Other,2.67,5.08,Small,Web&Email,3,20,37.86
146,Fund,Professional,4.39,3.23,Small,Web&Email,5,12,38.77
147,Fund,Professional,3.98,3.22,Small,Web&Email,5,24,35.77
148,Fund,Professional,4.11,4.34,Small,Web&Email,5,12,36.27
149,Fund,Other,2.99,7.14,Small,Web,3,7,36.89
150,CD,Other,3,5.17,Small,Web,3,56,40.09
151,CD,Doctor,4.28,3.29,Small,None,3,51,46.33
152,CD,Doctor,4.29,5.28,Small,None,4,54,37.41
153,CD,Doctor,3.75,5.39,Small,None,4,47,45.04
154,CD,Professional,4.9,5.18,Small,Full,4,58,30.5
155,CD,Professional,3.36,3.16,Small,Full,5,54,33.38
156,Loan,Professional,3.82,3.5,Small,Web&Email,5,54,34.18
157,Loan,Doctor,4.72,5.82,Small,Web&Email,5,49,40.11
158,Loan,Doctor,4.3,4.77,Small,Web&Email,6,51,30.32
159,Loan,Doctor,5.55,3.37,Small,Web,6,47,36.38
160,Loan,Doctor,3.96,4.68,Small,None,3,49,31.49
